COUNSELOR_NAME,DAY,NUMBER_OF_CASES,AVERAGE_RISK_LEVEL,AVERAGE_RATING
Yu Yamada,2023-01-01,7372,2.986706456863809,2.9960661964188824
Carlos Khan,2023-01-01,7225,3.00318339100346,2.977854671280277
Yan Delacroix,2023-01-01,7325,3.0390443686006825,2.9920819112627988
Marsha Tanaka,2023-01-01,7266,3.0158271401045966,2.9843104872006605
Fumiko Stevens,2023-01-01,7365,3.0228105906313645,2.987236931432451
Hans Wang,2023-01-01,7335,2.992774369461486,2.99931833674165
Hui Ivanovich,2023-01-01,7186,3.012524352908433,3.0172557751182856
Mary Farouk,2023-01-01,7265,3.021748107364074,2.9950447350309704
Mary Kim,2023-01-01,7439,2.9912622664336603,2.990321279741901
Lou Roberts,2023-01-01,7184,3.013641425389755,2.9941536748329622
Frank LópezPatel,2023-01-01,7218,2.981435300637296,2.985175949016348
Persephone Sun,2023-01-01,7360,2.999592391304348,2.993478260869565
Hans Yamada,2023-01-01,7396,3.0133856138453217,3.0005408328826393
Claude Roberts,2023-01-01,7300,2.992054794520548,3.017671232876712
Ibrahim Li,2023-01-01,7314,3.0015039649986326,2.9700574241181297
Beth Chen,2023-01-01,7355,2.982596872875595,2.9972807613868118
Claude Kant,2023-01-01,7341,2.9952322571856693,2.9617218362620896
Sri Farouk,2023-01-01,7186,3.012802671861954,2.973003061508489
Maria Tanaka,2023-01-01,7336,3.0069520174482007,2.9499727371864775
Ibrahim Tanaka,2023-01-01,7351,3.0122432322133044,2.980410828458713
Fatima Stryker,2023-01-01,7348,3.009798584648884,2.9706042460533477
Zoë Ivanovich,2023-01-01,7265,2.9979353062629044,2.960908465244322
Kumar Ali,2023-01-01,7162,3.0067020385367216,2.9515498464116168
Susan Smith,2023-01-01,7343,3.0083072313768215,3.0183848563257523
Olga Ramanujan,2023-01-01,7314,3.017500683620454,2.9887886245556468
Yu Yamada,2023-01-01,7372,2.986706456863809,2.9960661964188824
Carlos Khan,2023-01-01,7225,3.00318339100346,2.977854671280277
Yan Delacroix,2023-01-01,7325,3.0390443686006825,2.9920819112627988
Marsha Tanaka,2023-01-01,7266,3.0158271401045966,2.9843104872006605
Fumiko Stevens,2023-01-01,7365,3.0228105906313645,2.987236931432451
Hans Wang,2023-01-01,7335,2.992774369461486,2.99931833674165
Hui Ivanovich,2023-01-01,7186,3.012524352908433,3.0172557751182856
Mary Farouk,2023-01-01,7265,3.021748107364074,2.9950447350309704
Mary Kim,2023-01-01,7439,2.9912622664336603,2.990321279741901
Lou Roberts,2023-01-01,7184,3.013641425389755,2.9941536748329622
Frank LópezPatel,2023-01-01,7218,2.981435300637296,2.985175949016348
Persephone Sun,2023-01-01,7360,2.999592391304348,2.993478260869565
Hans Yamada,2023-01-01,7396,3.0133856138453217,3.0005408328826393
Claude Roberts,2023-01-01,7300,2.992054794520548,3.017671232876712
Ibrahim Li,2023-01-01,7314,3.0015039649986326,2.9700574241181297
Beth Chen,2023-01-01,7355,2.982596872875595,2.9972807613868118
Claude Kant,2023-01-01,7341,2.9952322571856693,2.9617218362620896
Sri Farouk,2023-01-01,7186,3.012802671861954,2.973003061508489
Maria Tanaka,2023-01-01,7336,3.0069520174482007,2.9499727371864775
Ibrahim Tanaka,2023-01-01,7351,3.0122432322133044,2.980410828458713
Fatima Stryker,2023-01-01,7348,3.009798584648884,2.9706042460533477
Zoë Ivanovich,2023-01-01,7265,2.9979353062629044,2.960908465244322
Kumar Ali,2023-01-01,7162,3.0067020385367216,2.9515498464116168
Susan Smith,2023-01-01,7343,3.0083072313768215,3.0183848563257523
Olga Ramanujan,2023-01-01,7314,3.017500683620454,2.9887886245556468
